Index	EXG0	EXG1	EXG2	EXG3	Accel_X	Accel_Y	Accel_Z	Timestamp	Marker
230	-1330.5667	-1190.5448	-1379.8735	-1413.6223	0	0	0	1784008782672	0
231	-1394.4740	-1346.3640	-1526.5973	-1445.9350	0	0	0	1784008782975	0
232	-1113.2335	-1258.9999	-1430.1377	-1025.1515	0	0	0	1784008783063	0
233	-1047.6506	-1199.8796	-1363.3580	-955.7389	0	0	0	1784008783100	0
234	-1112.7549	-1252.0587	-1434.9248	-1030.1779	0	0	0	1784008783216	0
235	-1116.1058	-1261.3934	-1443.7809	-1043.1030	0	0	0	1784008783320	0
236	-1110.3613	-1257.5638	-1433.7280	-1038.5553	0	0	0	1784008783461	0
237	-1089.7770	-1228.6020	-1410.7501	-1014.6199	0	0	0	1784008783498	0
238	-1117.5420	-1236.2614	-1432.0526	-1065.3629	0	0	0	1784008783754	0
239	-1122.5684	-1243.6813	-1420.5636	-1060.3364	0	0	0	1784008783792	0
240	-1117.5420	-1240.8091	-1415.5372	-1096.4789	0	0	0	1784008783943	0
241	-1176.1836	-1238.4155	-1424.6326	-1185.5183	0	0	0	1784008784042	0
242	-1104.8562	-1647.9495	-1758.2915	-500.2490	0	0	0	1784008784075	0
243	-1042.8636	-1598.8821	-1719.5162	-420.7836	0	0	0	1784008784190	0
244	-942.5745	-1581.1699	-1683.8525	-309.7235	0	0	0	1784008784312	0
245	-924.1442	-1575.4254	-1694.8628	-311.1597	0	0	0	1784008784341	0
246	-927.9739	-1587.1537	-1698.2137	-298.4739	0	0	0	1784008784395	0
247	-888.2412	-1447.8499	-1545.5062	-262.5709	0	0	0	1784008784520	0
248	-928.2133	-1518.6986	-1636.9392	-309.0055	0	0	0	1784008784685	0
249	-727.1562	-1450.9615	-1568.4841	-118.4800	0	0	0	1784008784729	0
250	-679.7642	-1485.4285	-1598.1640	-69.8912	0	0	0	1784008784847	0
251	-517.9612	-1343.4917	-1472.0247	-23.9354	0	0	0	1784008784929	0
252	-451.4209	-1336.3112	-1444.9777	26.5682	0	0	0	1784008784991	0
253	-327.4357	-2254.2322	-2221.9194	1267.6167	0	0	0	1784008785099	0
254	-305.4152	-2214.2600	-2194.3938	1282.2172	0	0	0	1784008785249	0
255	-1477.2904	-1630.2373	-1748.2386	-1161.3436	0	0	0	1784008785332	0
256	-949.5158	-2000.5173	-2050.7817	13.1644	0	0	0	1784008785565	0
257	-740.0813	-2070.1692	-2090.2750	383.6838	0	0	0	1784008785629	0
258	-619.4471	-2072.5627	-2087.6420	581.3899	0	0	0	1784008785665	0
259	-729.0710	-2004.3470	-2028.0430	372.4342	0	0	0	1784008785685	0
260	-762.3412	-2022.0592	-2051.2603	357.1156	0	0	0	1784008785713	0
261	-926.7771	-1991.1826	-2042.1649	93.1085	0	0	0	1784008785761	0
262	-331.0260	-2211.1484	-2197.7446	1170.4391	0	0	0	1784008785797	0
263	-1474.8969	-1591.9408	-1721.1918	-1104.6168	0	0	0	1784008785879	0
264	-977.5201	-1662.0714	-1728.3723	-49.5462	0	0	0	1784008786003	0
265	-256.3477	-2099.3704	-2103.4395	1213.0441	0	0	0	1784008786115	0
266	-322.6486	-2125.4600	-2124.9812	1135.9722	0	0	0	1784008786140	0
267	-803.0313	-1991.4219	-2063.2280	254.6722	0	0	0	1784008786170	0
268	-210.3918	-2162.3203	-2158.4907	1324.5828	0	0	0	1784008786212	0
269	-1788.2107	-1737.9464	-1917.7010	-1431.0952	0	0	0	1784008786263	0
270	-1662.7894	-1837.9962	-1962.6995	-1177.6198	0	0	0	1784008786376	0
271	-1609.1742	-1843.9801	-1967.2472	-1125.9193	0	0	0	1784008786393	0
